date,u_agent,u_cust,u_wcust,d_vol,d_val,d_com,d_rev,w_vol,w_val,w_com,w_rev,g_vol,g_val,g_com,g_rev,i_vol,i_vol,i_com,i_rev,a_vol,a_val,a_com,a_rev,t_vol,t_val,t_com,t_rev
25-Mar,10769,49249,20241,43225,31930330221.02,30959898,124278.73,21927,8435079073.76,23005234,74136589.39,63391,3268095252.03,4963572.97,0,4964,445675330.30,704759.45,1059164.22,8735,20881823320.76,0,0,142242,64961003197.87,59633464.42,75320032.34
26-Mar,9384,38464,17822,28553,13696267225.90,17737079,69389.37,19205,6894401824.64,19260098,62726124.39,47733,862649819.25,2605154.01,0,4024,155684510.77,466703.13,794706.06,4175,6779407546.53,0,0,103690,28388410927.09,40069034.14,63590219.82
27-Mar,10055,43654,18342,36819,30578163617.59,29179687,52787.79,19756,7746663041.00,20454922,65884432.17,49419,1713742303.90,3123140.27,0,4176,435135942.55,660908.83,778026.65,7205,18331437179.41,0,0,117375,58805142084.45,53418658.10,66715246.61
28-Mar,7492,28371,13703,19316,8476521640.60,11315875,24660.83,14617,3980474093.22,12878485,43183795.68,38164,576376150.26,1982006.12,0,3265,183486284.38,376312.00,586313.80,2647,5295245110.71,0,0,78009,18512103279.17,26552678.12,43794770.31
29-Mar,10761,51769,18604,52757,39805701773.01,38424698,101804.35,20135,8471718146.00,21657793,68933627.02,79534,4264313775.83,6292169.91,0,5842,596557512.37,1084754.25,967544.47,10126,26124296626.14,0,0,168394,79262587833.35,67459415.16,70002975.84
30-Mar,10753,53288,22405,46890,34051151484.81,34001370,81541.75,24121,9021614145.21,24648282,79582119.35,82001,5405601500.70,6685199.70,0,5421,503104281.12,999218.11,1034781.54,9568,22285908500.93,0,0,168001,71267379912.77,66334069.81,80698442.64
31-Mar,10792,57729,25661,48837,33952191318.38,35011331,80736.62,27567,10480518115.59,29495941,94816895.81,86265,6575521674.20,7147095.34,0,5454,492418026.40,1004229.80,1218684.36,9891,22870839836.79,0,0,178014,74371488971.36,72658597.14,96116316.79
1-Apr,13065,56287,24929,45539,33320747218.04,33380363,33457.36,26688,9978425835.48,28991789,93682763.57,66088,3223546023.61,5447427.31,0,5652,530326824.10,1017555.43,1516050.52,7917,20114958988.44,0,0,151884,67168004889.67,68837134.74,95232271.45
2-Apr,9951,51437,26051,35724,18027392462.10,23527505,42559.05,28173,10528602190.78,28843797,93947861.83,53985,1091496155.08,3471357.17,0,5592,294356129.63,783377.77,1433249.19,5450,9892257730.73,0,0,128924,39834104668.32,56626036.94,95423670.07
3-Apr,10203,53744,26491,39328,34285681378.73,31933971,67753.79,28545,9722422508.91,27629131,91367234.35,51358,1649217256.13,3451077.42,0,6736,408072247.30,873200.76,1607423.55,7632,21672246352.81,0,0,133599,67737639743.88,63887380.18,93042411.69
4-Apr,6402,27488,16224,14559,5544114601.89,8333156,27576.08,17325,3739554696.00,13469973,47092493.33,33691,393354489.70,1706384.55,0,3469,89069407.15,340666.81,605895.49,1543,2324036824.00,0,0,70587,12090130018.74,23850180.36,47725964.90
5-Apr,8980,39712,18676,31919,17295196544.03,21172661,90033.34,20072,6185025002.00,18151543,60406983.12,47207,754111261.47,2760558.69,0,4950,414528433.04,680589.77,865363.78,4838,10966928710.06,0,0,108986,35615789950.60,42765352.46,61362380.24
6-Apr,10693,52691,20329,54432,46464143529.42,41832408,141812.61,21931,8942427912.00,22087683,71145035.58,76235,3582531000.53,6055277.20,0,7493,1093951888.26,1460873.19,1346667.40,9969,29276213788.34,0,0,170060,89359268118.55,71436241.39,72633515.59
7-Apr,9929,42744,19532,36172,19603048513.99,24006388,55575.84,21101,8248027134.00,20735481,66853518.93,61814,1434636324.59,3585532.92,0,6456,337209535.62,947365.35,1239640.12,5788,11365583950.08,0,0,131331,40988505458.28,49274767.27,68148734.89
8-Apr,10662,49747,19025,51604,40619050576.69,38626075,162871.72,20499,8428121669.15,20737536,66572748.35,72376,3168511119.23,5679150.91,0,8775,994705230.09,1799776.32,1495794.31,9412,25815215557.91,0,0,162666,79025604153.07,66842538.23,68231414.38
9-Apr,10617,50424,19946,54279,35487699402.16,39227527,203168.08,21638,8789470114.70,22025230,70418342.45,66386,2893777307.98,5136378.07,0,9312,922097894.32,1980809.22,1682092.86,9598,22151744136.23,0,0,161213,70244788855.39,68369944.29,72303603.39
10-Apr,10047,46220,20092,50888,32784189042.87,38497977,138194.01,21723,8768638915.80,22152636,71079308.11,49486,1561147986.41,3181942.15,0,6149,903527781.09,1781810.74,992083.29,8435,19149688846.28,0,0,136681,63167192572.45,65614365.89,72209585.41
11-Apr,7610,32349,16018,36985,12688641101.50,22393573,85626.44,17127,5123161085.00,15352371,50677248.96,41953,659544498.61,2124175.15,0,4401,419212959.98,1020027.19,593302.18,3774,6851822694.72,0,0,104240,25742382339.81,40890146.34,51356177.58
12-Apr,10699,51572,18572,76987,44894027833.50,53021047,320726.63,20150,8760055249.00,21303996,67271773.63,71595,3029348788.17,5813935.69,0,7661,949985784.99,2083509.66,1272445.45,12210,28496130571.78,0,0,188603,86129548227.44,82222488.35,68864945.71
13-Apr,10672,48946,17990,58888,36989599615.88,40788104,175727.49,19479,8106350104.10,20025054,63775166.55,68959,3168241272.49,5557401.11,0,6635,720834058.76,1607528.34,1108648.51,10388,24685990094.37,0,0,164349,73671015145.60,67978087.45,65059542.55
